event_id,signal_id,cluster_id,revision,event_start_date,event_end_date,published_at,first_seen_at,updated_at,disease_id,disease_name_zh,disease_name_en,subtype,location,continent,cases,deaths,hospitalizations,period_type,source_org,source_type,source_tier,source,description_cn,review_status,extraction_confidence,data_quality_score,quality_status
evt_2d59fb762f0a65ea3cd2,sig_2d59fb762f0a65ea3cd2,cluster_0c4ef835aa00f925dca4,1,2026-07-01,2026-07-01,2026-07-10,,,dengue,登革热,Dengue,,科伦坡,亚洲,56422,35,,cumulative,Eco-Business,other_open_source,4,https://www.eco-business.com/news/sri-lanka-ramps-up-dengue-battle-with-mosquito-control-drive,"斯里兰卡2026年7月登革热疫情加剧,累计56,422例病例,死亡35例,多地受影响",unreviewed,0.92,92,validated
evt_ff9e75aaa684a6ff8433,sig_ff9e75aaa684a6ff8433,cluster_77e36af93ce58901a898,1,2026-07-10,2026-07-10,2026-07-10,,,dengue,登革热,Dengue,,Selangor,亚洲,42848,34,,cumulative,Freemalaysiatoday,news_media,3,https://www.freemalaysiatoday.com/category/nation/2026/07/10/dengue-cases-up-34-this-year-deaths-rise-nearly-79,"马来西亚卫生部报告,2026年截至7月9日,全国累计报告42,848例登革热病例,死亡34例,较去年同期分别上升34.8",unreviewed,0.92,92,validated
evt_4299bc1aa90f6ad8c32e,sig_4299bc1aa90f6ad8c32e,cluster_23dc75406ed6d6f4cb78,1,2026-07-10,2026-07-10,2026-07-10,,,cyclosporiasis,环孢子虫病,Cyclosporiasis,,美国,北美洲,394,,,cumulative,Timesunion,other_open_source,4,https://www.timesunion.com/health/article/new-yorkers-sick-parasite-infection-cyclosporiasis-22338815.php,"美国纽约州等29州暴发环孢子虫病,累计病例数千,疑与进口新鲜蔬果有关",unreviewed,0.92,92,validated
evt_e14e4a18521530e15f45,sig_e14e4a18521530e15f45,cluster_8e9cd3cccc9d692e5fcf,1,2026-07-09,2026-07-09,2026-07-09,,,mpox,猴痘,Mpox,,中国台湾,亚洲,19,,,cumulative,Healthnews,news_media,3,https://www.healthnews.com.tw/article/69075,"台湾近期新增4例M痘,含本土及香港输入,Ib型病毒株已检出,疫苗接种率待提升",unreviewed,0.92,92,validated
evt_6653a9f8b0e134c3350f,sig_6653a9f8b0e134c3350f,cluster_508e895c031429f1218a,1,2026-07-09,2026-07-09,2026-07-09,,,avian-influenza,禽流感,Avian influenza,H7N9,中国,亚洲,,79,,event,SETN,other_open_source,4,https://www.setn.com/news/226930,"2017年1月中国H7N9禽流感发病192例、死亡79例,疫情自2016年9月起已蔓延16省",unreviewed,0.92,92,validated
evt_6d82a541c8863c64b476,sig_6d82a541c8863c64b476,cluster_a54fcdabef5855ecc65e,1,2026-07-09,2026-07-09,2026-07-09,,,legionellosis,军团菌病,Legionellosis,,美国纽约市曼哈顿上东区,北美洲,,,,event,Abc7ny,other_open_source,4,https://abc7ny.com/post/new-york-city-health-officials-search-source-upper-east-side-legionnaires-outbreak-linked-36-cases/19468311,"纽约市曼哈顿上东区军团病暴发,36例确诊22人住院",unreviewed,0.92,92,validated
evt_2ec42a75c924c0a6b0c6,sig_2ec42a75c924c0a6b0c6,cluster_bcd05bb8456dcf9c7eac,1,2026-07-09,2026-07-09,2026-07-09,,,dengue,登革热,Dengue,,斯里兰卡,亚洲,,,5,event,Newswire,news_media,3,https://www.newswire.lk/2026/07/09/university-of-colombo-shifts-lectures-online-amid-dengue-cases,"斯里兰卡科伦坡大学暴发登革热,71名学生感染,5人住院,学校改为线上教学",unreviewed,0.92,92,validated
evt_6426b34de01bdb931e57,sig_6426b34de01bdb931e57,cluster_d793e627ae82d5805e03,1,2026-07-09,2026-07-09,2026-07-09,,,multiple-notifiable-diseases,多种法定传染病,Multiple notifiable diseases,,中国,亚洲,,2116,,event,Cdctj,official_health_authority,1,https://www.cdctj.com.cn/system/2026/07/09/030194131.shtml,"2026年07月09日 {'name': '中国', 'type': 'country'}发生多种法定传染病(病毒性肝炎",unreviewed,1.0,100,validated
evt_e7b3a2b698642066f9cd,sig_e7b3a2b698642066f9cd,cluster_8a09fe9798e1d45804bf,1,2026-07-09,2026-07-09,2026-07-09,,,influenza,流行性感冒,Influenza,,中国澳门,亚洲,,,,event,GOV,other_open_source,4,https://www.gov.mo/zh-hant/news/1250822,"澳门卫生局2026年7月9日接获3宗流感样疾病群集性感染报告,分别发生在台山菜园涌边街郑观应公立学校(5名I1A班学生)",unreviewed,0.92,92,validated
evt_4b681b7eca26829f1d7b,sig_4b681b7eca26829f1d7b,cluster_cc8e1ed4933b58b010db,1,2026-07-09,2026-07-09,2026-07-09,,,multiple-notifiable-diseases,多种法定传染病,Multiple notifiable diseases,,北京市,亚洲,16309,12,,event,Bjcdc,official_health_authority,1,https://www.bjcdc.org/cdcmodule/jkdt/yqbb/2026/117743.shtml,"2026年6月(6月1日0时至6月30日24时),北京市共报告法定传染病23种16309例,死亡12例。主要病种为病毒性",unreviewed,1.0,100,validated
evt_d5cb3929649b11ec0c91,sig_d5cb3929649b11ec0c91,cluster_a54fcdabef5855ecc65e,1,2026-07-08,2026-07-08,2026-07-08,,,legionellosis,军团菌病,Legionellosis,,美国纽约市曼哈顿上东区,北美洲,28,,,event,Fox5ny,other_open_source,4,https://www.fox5ny.com/news/28-people-sickened-legionnaires-disease-outbreak-upper-east-side,"纽约市上东区暴发军团病,至少28人感染,官方正检测冷却塔并召开社区会议",unreviewed,0.92,92,validated
evt_f0bd08d96931b148c5c0,sig_f0bd08d96931b148c5c0,cluster_60a9924851fb8bf1848c,1,2026-07-08,2026-07-08,2026-07-08,,,malaria,疟疾,Malaria,,Lokoja,非洲,,,,event,OVID,other_open_source,4,https://www.ovid.com/jnls/jvbd/fulltext/10.4103/jvbd.jvbd_16_25~a-cross-sectional-survey-of-malaria-in-asymptomatic-and,"尼日利亚科吉州洛科亚地区2018-2021年开展疟疾横断面调查,328名参与者中恶性疟原虫感染率达40.5%(133/3",unreviewed,0.92,92,validated
evt_5e725d69d72b4e48c4c5,sig_5e725d69d72b4e48c4c5,cluster_b32c67cf33df36876d79,1,2026-07-08,2026-07-08,2026-07-08,,,malaria,疟疾,Malaria,,"{'country', 'Central and South America', 'region', '中及南'}",,,,,event,SSI,other_open_source,4,https://en.ssi.dk/news/epi-news/2026/no-25---2026,"丹麦2019-2025年输入性疟疾病例总结,期间共检出381例,其中恶性疟(P. falciparum)占82%,三日疟",unreviewed,0.8,80,warning
evt_69883e4c213312ae9d46,sig_69883e4c213312ae9d46,cluster_aafec5cfb3e0ced26259,1,2026-07-08,2026-07-08,2026-07-08,,,legionellosis,军团菌病,Legionellosis,,美国纽约市上东区,北美洲,,,,event,Google,news_media,3,https://news.google.com/rss/articles/CBMizAFBVV95cUxQZUMxdl81WlgxRVpERHRpUWJhYVlhU2QyeklKLWNsbHpwWlFBUU11UEx6dkw4VEN5dGZ5VkZzMDhnbDdGd2c1ZnZWTE91UllsN2tqdWVwRTcxRDB0eE9zMlI2bTBiLWYtelhoWWV4UGJHcGhYTGxpb3c1ZEJ1U29FdjZhWmRka2E0VEQzWVhKb0VPQUhkeVNwQk5JVkRYbkthWTk0cEx4MFdyRlVSZkNRekRfX3NlX3pPbjhJYUVwbDVhVUdRRTFmWkIxX3fSAdIBQVVfeXFMT3l6dlhOQzZwa09WYkZUSWVGWHgxLUN3MDQ2WVRUN09UY0pSUFhleW9QVXozZWdaR3IwQ2xXWUM3NlQwTy1zczVZbHQwVXJmaEdpSGRYbXVoMjVtMS13Y3UtYlNXTXFRZUZSdnFqOENLWEtWbmtieHZuTnVJRWlLMktvdWZTTEVxbDIxUWVfWjBsNlRxRm50d1JmRTZzV2U2VjlJZjE5UzVTd1RSS2l4eXl6ZzdMRjRlVHFqQnZnWGVDY2NaS1kwX0ROQ3kxOHBLclBn,"纽约市上东区暴发军团菌病,已确诊28例,卫生部门正追查水源",unreviewed,0.92,92,validated
evt_97a4dcb96fbcafeefa30,sig_97a4dcb96fbcafeefa30,cluster_cb1bd708d06181824399,1,2026-07-08,2026-07-08,2026-07-08,,,dengue,登革热,Dengue,,Colombo,亚洲,63835,42,,cumulative,Newswire,news_media,3,https://www.newswire.lk/2026/07/08/dengue-cases-in-sri-lanka-surge-past-63000-in-2026,"斯里兰卡2026年登革热疫情持续攀升,截至7月7日累计报告63835例病例,42例死亡,病死率0.07%。6月为单月最高",unreviewed,0.92,92,validated
evt_c62e4ac7718133b8770b,sig_c62e4ac7718133b8770b,cluster_bcd05bb8456dcf9c7eac,1,2026-07-08,2026-07-08,2026-07-08,,,dengue,登革热,Dengue,,斯里兰卡,亚洲,63835,42,,cumulative,Adaderana,other_open_source,4,https://adaderana.lk/news/cmrbms381000b356pbyppz0ui,"斯里兰卡登革热疫情累计63835例,死亡42例",unreviewed,0.92,92,validated
evt_3519bb12fd8d76add53e,sig_3519bb12fd8d76add53e,cluster_8d618ac0a8196119d9fb,1,2026-07-08,2026-07-08,2026-07-08,,,enterovirus-d68,肠病毒 D68 型感染,Enterovirus D68 infection,EV-D68,中国台湾,亚洲,6,1,,cumulative,LINE,news_media,3,https://today.line.me/tw/v3/article/kEKy7z0,"疾管署公布新增1例肠病毒D68型重症,台湾2026年累计6例,1例死亡",unreviewed,0.92,92,validated
evt_e831b66903cb7a7e7218,sig_e831b66903cb7a7e7218,cluster_7af6c5bac91b84b20d46,1,2026-07-08,2026-07-08,2026-07-08,,,multiple-notifiable-diseases,多种法定传染病,Multiple notifiable diseases,,不含港澳台,亚洲,,2116,,event,Chinacdc,official_health_authority,1,https://www.chinacdc.cn/jksj/jksj01/202607/t20260708_1837979.html,"2026年07月08日 {'country': '中国', 'region': '全国(不含港澳台)'}发生病毒性肝炎、",unreviewed,1.0,100,validated
